region,heritability,pvalue
1,0.323418,0.75
2,0.323922,0.75
3,0.381047,0.75
4,0.2251,0.75
5,0.334704,0.75
6,0.339415,0.75
7,0.11287,0.29576
8,0.154668,0.23582
9,0.234742,0.75
10,0.215297,0.75
11,0.089026,0.3409
12,0.038707,0.42592
13,0.124442,0.26644
14,0.207971,0.75
15,0.404804,0.75
16,0.382119,0.75
17,0.333743,0.75
18,0.33235,0.75
19,0.106371,0.75
20,0.054954,0.3956
21,0.119763,0.27545
22,0.383365,0.75
23,0.4065,0.75
24,0.416306,0.75
25,0.241545,0.75
26,0.237896,0.75
27,0.338801,0.75
28,0.437377,0.014697
29,0.159565,0.21777
30,0.14458,0.23672
31,0.384573,0.75
32,0.34199,0.75
33,0.38137,0.75
34,0.23259,0.75
35,0.074751,0.35068
36,0.014478,0.47224
37,0.356765,0.0329
38,0.384531,0.020995
39,0.161327,0.20039
40,0.080507,0.34301
41,0.230995,0.75
42,0.333373,0.75
43,0.407133,0.75
44,0.383707,0.75
45,0.23954,0.75
46,0.012803,0.47457
47,0.165246,0.20032
48,0.307082,0.051295
49,0.172385,0.17098
50,0.058407,0.37853
51,0.343374,0.75
52,0.381058,0.75
53,0.418683,0.75
54,0.417252,0.75
55,0.385371,0.75
56,0.204466,0.75
57,0.295023,0.062912
58,0.27007,0.064645
59,0.142041,0.20224
60,0.070515,0.35086
61,0.336649,0.75
62,0.430062,0.75
63,0.382656,0.75
64,0.336908,0.75
65,0.21405,0.75
66,0.24265,0.089828
67,0.221282,0.75
68,0.077319,0.34175
69,0.234604,0.10512
70,0.431613,0.75
71,0.23202,0.75
72,0.232157,0.75
73,0.017344,0.46582
74,0.319811,0.046063
75,0.276256,0.081282
76,0.000361,0.49893
77,0.004371,0.49139
78,0.433684,0.75
79,0.382982,0.75
80,0.331844,0.75
81,0.342029,0.75
82,0.328581,0.75
83,0.031154,0.44271
84,0.33916,0.75
85,0.404665,0.75
86,0.380674,0.75
87,0.339793,0.75
88,0.213428,0.75
89,0.221573,0.75
90,0.137614,0.2655
91,0.193352,0.18767
92,0.135608,0.24135
93,0.143547,0.23607
94,0.285503,0.088785
95,0.242439,0.11158
96,0.043818,0.41211
97,0.137107,0.25769
98,0.353674,0.051501
99,0.044604,0.41129
100,0.335753,0.75
101,0.33775,0.75
102,0.010683,0.75
103,0.381654,0.75
104,0.333285,0.75
105,0.385186,0.75
106,0.282885,0.75
107,0.228063,0.75
108,0.219393,0.75
109,0.379397,0.75
110,0.383436,0.75
111,0.240952,0.75
112,0.232208,0.75
113,0.002214,0.75
114,0.199714,0.17277
115,0.003979,0.49228
116,0.035962,0.43038
117,0.234125,0.75
118,0.239661,0.1348
119,0.051745,0.40592
120,0.334232,0.75
121,0.422247,0.75
122,0.381509,0.75
123,0.21123,0.75
124,0.28222,0.75
125,0.222251,0.75
126,0.217235,0.75
127,0.078038,0.35516
128,0.510311,0.0062215
129,0.322413,0.053356
130,0.060751,0.38137
131,0.162624,0.20926
132,0.206238,0.15046
133,0.235026,0.75
134,0.171598,0.22236
135,0.013295,0.75
136,0.282314,0.75
137,0.237626,0.75
138,0.283146,0.75
139,0.23264,0.75
140,0.318552,0.75
141,0.334796,0.75
142,0.211768,0.75
143,0.125839,0.27042
144,0.659395,0.00019865
145,0.490951,0.0052005
146,0.318774,0.058002
147,0.029875,0.44208
148,0.336793,0.75
149,0.342571,0.75
150,0.017732,0.75
151,0.283034,0.75
152,0.318696,0.75
153,0.203981,0.75
154,0.210972,0.75
155,0.092481,0.32096
156,0.226089,0.75
157,0.239355,0.75
158,0.335173,0.75
159,0.23587,0.75
160,0.053281,0.39345
161,0.500967,0.0045833
162,0.250951,0.098127
163,0.269989,0.096012
164,0.123397,0.28032
165,0.226359,0.75
166,0.341667,0.75
167,0.330379,0.75
168,0.30596,0.75
169,0.334091,0.75
170,0.383198,0.75
171,0.178672,0.20211
172,0,0.75
173,0.034808,0.431
174,0.328634,0.75
175,0.340438,0.75
176,0.307057,0.75
177,0.138322,0.25082
178,0.018768,0.46224
179,0.207229,0.14766
180,0.19704,0.15131
181,0.002521,0.75
182,0.227495,0.75
183,0.282205,0.75
184,0.208561,0.75
185,0.134292,0.25183
186,0.336555,0.75
187,0.343906,0.75
188,0.334979,0.75
189,0.404105,0.75
190,0.382383,0.75
191,0.222256,0.75
192,0.118236,0.26683
193,0.224503,0.75
194,0.231716,0.75
195,0.174679,0.19949
196,0.235589,0.11714
197,0.063733,0.37228
198,0.079734,0.34315
199,0.116441,0.28144
200,0.063944,0.38071
201,0.406421,0.75
202,0.384684,0.75
203,0.340762,0.75
204,0.217305,0.75
205,0.236183,0.75
206,0.237582,0.75
207,0.230657,0.75
208,0.092931,0.31891
209,0.195892,0.15141
210,0.16219,0.19313
211,0.212823,0.75
212,0.337269,0.75
213,0.383208,0.75
214,0.216616,0.75
215,0.233458,0.75
216,0.340812,0.75
217,0.386566,0.75
218,0.33346,0.75
219,0.220716,0.75
220,0.381861,0.75
221,0.341878,0.75
222,0.102075,0.75
223,0.075994,0.35024
224,0.159097,0.20702
225,0.061778,0.37454
226,0.20411,0.75
227,0.383232,0.75
228,0.418692,0.75
229,0.342325,0.75
230,0.080739,0.35057
231,0.103112,0.31113
232,0.327307,0.75
233,0.320415,0.75
234,0.320352,0.75
235,0.386035,0.75
236,0.406074,0.75
237,0.407081,0.75
238,0.384903,0.75
239,0.309806,0.75
240,0.306295,0.066699
241,0.03312,0.43122
242,0.234749,0.75
243,0.381455,0.75
244,0.386133,0.75
245,0.384711,0.75
246,0.331591,0.75
247,0.335005,0.75
248,0.281461,0.75
249,0.339474,0.75
250,0.406461,0.75
251,0.42847,0.75
252,0.421723,0.75
253,0.417161,0.75
254,0.417251,0.75
255,0.338969,0.75
256,0.258407,0.090552
257,0.28495,0.75
258,0.406174,0.75
259,0.383828,0.75
260,0.068897,0.35076
261,0.084239,0.32081
262,0.107253,0.29096
263,0.16916,0.17471
264,0.282747,0.75
265,0.285083,0.75
266,0.431875,0.75
267,0.43372,0.75
268,0.339433,0.75
269,0.380522,0.75
270,0.34187,0.75
271,0.285603,0.75
272,0.090179,0.32689
273,0.206066,0.75
274,0.237469,0.75
275,0.229711,0.75
276,0.229287,0.096047
277,0.195299,0.13296
278,0.032541,0.43214
279,0.224576,0.75
280,0.223388,0.75
281,0.384621,0.75
282,0.407067,0.75
283,0.433123,0.75
284,0.43422,0.75
285,0.405695,0.75
286,0.382499,0.75
287,0.404269,0.75
288,0.336048,0.75
289,0.090281,0.33554
290,0.239133,0.75
291,0.077913,0.3619
292,0.223438,0.75
293,0.119401,0.25247
294,0.141689,0.2134
295,0.118142,0.27267
296,0.236919,0.75
297,0.340226,0.75
298,0.234868,0.75
299,0.218225,0.75
300,0.403627,0.75
301,0.33773,0.75
302,0.384302,0.75
303,0.416195,0.75
304,0.383024,0.75
305,0.337739,0.75
306,0.079806,0.35236
307,0.237341,0.75
308,0.317957,0.75
309,0.234052,0.13444
310,0.130341,0.25319
311,0.13492,0.24379
312,0.231175,0.75
313,0.215557,0.75
314,0.096945,0.3132
315,0.235985,0.75
316,0.005865,0.75
317,0.149363,0.24473
318,0.28359,0.75
319,0.254506,0.083055
320,0.158134,0.21589
321,0.37963,0.75
322,0.384103,0.75
323,0.242111,0.75
324,0.189166,0.18851
325,0.209087,0.75
326,0.205918,0.75
327,0.438479,0.014777
328,0.251777,0.10192
329,0.091162,0.33217
330,0.33231,0.75
331,0.337676,0.75
332,0.232566,0.11638
333,0.062036,0.37855
334,0.092052,0.33063
335,0.170092,0.19786
336,0.071525,0.34373
337,0.285748,0.75
338,0.416007,0.75
339,0.415843,0.75
340,0.343441,0.75
341,0.011456,0.75
342,0.004493,0.49301
343,0.196585,0.15705
344,0.1313,0.26719
345,0.00212,0.75
346,0.283556,0.75
347,0.232525,0.75
348,0.223349,0.75
349,0.405543,0.75
350,0.38117,0.75
351,0.339222,0.75
352,0.384226,0.75
353,0.380879,0.75
354,0.283676,0.75
355,0.337329,0.75
356,0.223556,0.75
357,0.223015,0.75
358,0.33879,0.75
359,0.111775,0.75
360,0.034581,0.43795
361,0.056718,0.39342
362,0.233821,0.75
363,0.326835,0.75
364,0.340189,0.75
365,0.416573,0.75
366,0.379947,0.75
367,0.221617,0.75
368,0.186951,0.18853
369,0.062129,0.38148
370,0.020157,0.462
371,0.32801,0.75
372,0.342606,0.75
373,0.057925,0.38958
374,0.077274,0.35316
375,0.339975,0.75
376,0.08712,0.33068
377,0.393905,0.030087
378,0.401168,0.029525
379,0.263303,0.10578
380,0,0.75
381,0.15698,0.22676
382,0.334279,0.051561
383,0.100623,0.32505
384,0.379477,0.75
385,0.248536,0.095822
386,0.211464,0.12505
387,0.029793,0.43767
388,0.182032,0.18497
389,0.466679,0.01617
390,0.245674,0.1223
391,0.097515,0.3211
392,0.00379,0.49387
393,0.404753,0.02385
394,0.342001,0.040979
395,0.415504,0.017978
396,0.009437,0.48276
397,0.405584,0.75
398,0.40599,0.75
399,0.331285,0.75
400,0.230732,0.75
401,0.2016,0.75
402,0.24677,0.088705
403,0.208865,0.14845
404,0.086205,0.34308
405,0.187604,0.18962
406,0.035891,0.43259
407,0.109462,0.75
408,0.016575,0.47183
409,0.017206,0.46743
410,0.133272,0.25484
411,0.228012,0.75
412,0.386311,0.75
413,0.406885,0.75
414,0.319412,0.75
415,0.212349,0.75
416,0.01774,0.46934
417,0.223399,0.75
418,0.206397,0.75
419,0.107251,0.29315
420,0.384107,0.75
421,0.236824,0.75
422,0.094654,0.32591
423,0.25116,0.11386
424,0.131844,0.27321
425,0.212055,0.75
426,0.328215,0.75
427,0.322197,0.75
428,0.007785,0.75
429,0.081847,0.34625
430,0.240512,0.12608
431,0.219969,0.75
432,0.006045,0.48826
433,0.342903,0.75
434,0.343169,0.75
435,0.33907,0.75
436,0.233136,0.75
437,0.120808,0.30092
438,0.086906,0.34293
439,0.060648,0.37959
440,0.208035,0.75
441,0.338791,0.75
442,0.210614,0.75
443,0.341798,0.75
444,0.38585,0.75
445,0.238272,0.75
446,0.222674,0.75
447,0.22111,0.75
448,0.380661,0.75
449,0.403709,0.75
450,0.116648,0.75
451,0.023995,0.45394
452,0.08939,0.3219
453,0.297449,0.081651
454,0.110839,0.75
455,0.389695,0.032085
456,0.169862,0.21688
457,0.066383,0.38495
458,0.231494,0.75
459,0.217452,0.75
460,0.33886,0.75
461,0.006596,0.48886
462,0.052892,0.40542
463,0.231392,0.75
464,0.332154,0.75
465,0.101454,0.31201
466,0.263028,0.099569
467,0.227117,0.75
468,0.027141,0.44823
469,0.114228,0.29184
470,0.338072,0.75
471,0.404997,0.75
472,0.333827,0.75
473,0.337661,0.75
474,0.216374,0.75
475,0.115377,0.28068
476,0.263475,0.087713
477,0.438681,0.014575
478,0.325355,0.066299
479,0.116559,0.29373
480,0.100203,0.31829
481,0.313226,0.064925
482,0.12688,0.27686
483,0.131497,0.27345
