region,heritability,pvalue
1,0.316561,0.75
2,0.240583,0.75
3,0.03096,0.43952
4,0.326867,0.75
5,0.341453,0.75
6,0.054374,0.39901
7,0.40579,0.75
8,0.222695,0.75
9,0.282755,0.75
10,0.342142,0.75
11,0.001051,0.75
12,0.339332,0.75
13,0.225662,0.75
14,0.010275,0.47979
15,0.243127,0.75
16,0.285871,0.75
17,0.249049,0.11826
18,0.241466,0.12644
19,0.103564,0.30857
20,0.284834,0.75
21,0.209375,0.75
22,0.220604,0.75
23,0.148145,0.24062
24,0.306278,0.081724
25,0.327948,0.75
26,0.335301,0.75
27,0.203556,0.75
28,0.237713,0.75
29,0.218593,0.15267
30,0.307324,0.75
31,0.287398,0.75
32,0.343305,0.75
33,0.426905,0.75
34,0.229088,0.75
35,0.286999,0.75
36,0.385113,0.75
37,0.406975,0.75
38,0.406,0.75
39,0.421666,0.75
40,0.340776,0.75
41,0.40758,0.75
42,0.381528,0.75
43,0.177369,0.17522
44,0.415672,0.75
45,0.342681,0.75
46,0.403943,0.75
47,0.342243,0.75
48,0.415255,0.75
49,0.384656,0.75
50,0.111986,0.29827
51,0.148914,0.23565
52,0.370455,0.025801
53,0.098926,0.31706
54,0.336464,0.75
55,0.333025,0.75
56,0.083335,0.34571
57,0.087295,0.34712
58,0.006544,0.48871
59,0.342448,0.75
60,0.337443,0.75
61,0.337448,0.75
62,0.205095,0.15418
63,0.149014,0.2406
64,0.219942,0.12476
65,0.287471,0.75
66,0.14257,0.24221
67,0.001286,0.49793
68,0.381708,0.75
69,0.083741,0.35334
70,0.099982,0.31324
71,0.027518,0.44795
72,0.08302,0.34706
73,0.220147,0.75
74,0.09256,0.31713
75,0.187177,0.17373
76,0.194802,0.16041
77,0.338746,0.75
78,0.166254,0.20984
79,0.04334,0.41541
80,0.34085,0.75
81,0.306395,0.75
82,0.006965,0.48851
83,0.120457,0.29021
84,0.20479,0.75
85,0.416651,0.019555
86,0.269981,0.10504
