region,heritability,pvalue
1,0.075904,2.6947e-13
2,0.079966,7.2907e-14
3,0.079242,7.0847e-14
4,0.067956,7.389e-11
5,0.057504,3.8868e-08
6,0.070279,3.1306e-11
7,0.069754,3.4306e-11
8,0.053955,1.6922e-07
9,0.055006,9.5289e-08
10,0.080689,2.349e-14
11,0.084195,1.1992e-15
12,0.064121,6.4695e-10
13,0.058966,4.1513e-09
14,0.049282,5.8968e-07
15,0.056615,7.0132e-08
16,0.071872,8.1514e-12
17,0.067373,6.3594e-11
18,0.044107,1.2141e-05
19,0.051458,2.6249e-07
20,0.057321,1.6263e-08
21,0.045787,4.5917e-06
22,0.054129,1.0403e-07
23,0.053938,1.6521e-07
24,0.067148,1.0092e-10
25,0.062326,1.8326e-09
26,0.037673,0.00019103
27,0.022604,0.015328
28,0.044899,8.9585e-06
29,0.063612,1.4761e-09
30,0.062643,2.9771e-09
31,0.041699,2.6673e-05
32,0.043149,1.9105e-05
33,0.051757,4.1115e-07
34,0.054448,1.4649e-07
35,0.043081,2.6842e-05
36,0.023812,0.010232
37,0.020655,0.024125
38,0.046031,6.0188e-06
39,0.075224,6.8049e-13
40,0.082486,7.3219e-15
41,0.056489,3.6089e-08
42,0.046376,5.193e-06
43,0.039275,9.664e-05
44,0.055025,1.0539e-07
45,0.052518,3.5025e-07
46,0.032448,0.00097153
47,0.026002,0.0055887
48,0.055103,7.5249e-08
49,0.079726,4.5959e-14
50,0.090297,2.1275e-17
51,0.074617,9.4384e-13
52,0.052677,3.5471e-07
53,0.048662,2.6694e-06
54,0.060725,7.1768e-09
55,0.053542,2.9692e-07
56,0.043417,1.5665e-05
57,0.036845,0.00027896
58,0.054995,9.3296e-08
59,0.062697,5.9537e-10
60,0.066586,1.2026e-10
61,0.062606,3.3342e-09
62,0.055148,7.0592e-08
63,0.051534,6.8126e-07
64,0.040633,6.3216e-05
65,0.040719,2.5079e-05
66,0.034325,0.0002115
67,0.035267,0.00014475
68,0.043653,1.0524e-05
69,0.059375,1.294e-08
70,0.044793,8.8009e-06
71,0.040657,6.1291e-05
72,0.038278,0.00012976
73,0.038345,8.9263e-05
74,0.020088,0.027475
75,0.021439,0.010966
76,0.204918,0.75
77,0.018512,0.031247
78,0.031666,0.0012462
79,0.038419,0.00015985
80,0.044459,1.4691e-05
81,0.039119,0.00013872
82,0.020712,0.025017
83,0.016666,0.048492
84,0.011061,0.14814
85,0.042198,5.7216e-05
86,0.046517,9.3634e-06
87,0.033615,0.00092373
88,0.023677,0.011105
89,0.037139,0.0003884
90,0.035363,0.00025078
91,0.039257,2.2026e-05
92,0.053862,1.0282e-07
93,0.058919,9.7146e-09
94,0.066246,1.4101e-10
95,0.045935,8.2913e-06
96,0.042781,2.6772e-05
97,0.049106,1.4542e-06
98,0.063635,4.3864e-10
99,0.036027,0.00046438
100,0.040153,7.9637e-05
101,0.075904,2.6947e-13
102,0.079966,7.2907e-14
103,0.079242,7.0847e-14
104,0.067956,7.389e-11
105,0.057504,3.8868e-08
106,0.070279,3.1306e-11
107,0.069754,3.4306e-11
108,0.053955,1.6922e-07
109,0.055006,9.5289e-08
110,0.080689,2.349e-14
111,0.084195,1.1992e-15
112,0.064121,6.4695e-10
113,0.058966,4.1513e-09
114,0.049282,5.8968e-07
115,0.056615,7.0132e-08
116,0.071872,8.1514e-12
117,0.067373,6.3594e-11
118,0.044107,1.2141e-05
119,0.051458,2.6249e-07
120,0.057321,1.6263e-08
121,0.045787,4.5917e-06
122,0.054129,1.0403e-07
123,0.053938,1.6521e-07
124,0.067148,1.0092e-10
125,0.062326,1.8326e-09
126,0.037673,0.00019103
127,0.022604,0.015328
128,0.044899,8.9585e-06
129,0.063612,1.4761e-09
130,0.062643,2.9771e-09
131,0.041699,2.6673e-05
132,0.043149,1.9105e-05
133,0.051757,4.1115e-07
134,0.054448,1.4649e-07
135,0.043081,2.6842e-05
136,0.023812,0.010232
137,0.020655,0.024125
138,0.046031,6.0188e-06
139,0.075224,6.8049e-13
140,0.082486,7.3219e-15
141,0.056489,3.6089e-08
142,0.046376,5.193e-06
143,0.039275,9.664e-05
144,0.055025,1.0539e-07
145,0.052518,3.5025e-07
146,0.032448,0.00097153
147,0.026002,0.0055887
148,0.055103,7.5249e-08
149,0.079726,4.5959e-14
150,0.090297,2.1275e-17
151,0.074617,9.4384e-13
152,0.052677,3.5471e-07
153,0.048662,2.6694e-06
154,0.060725,7.1768e-09
155,0.053542,2.9692e-07
156,0.043417,1.5665e-05
157,0.036845,0.00027896
158,0.054995,9.3296e-08
159,0.062697,5.9537e-10
160,0.066586,1.2026e-10
161,0.062606,3.3342e-09
162,0.055148,7.0592e-08
163,0.051534,6.8126e-07
164,0.040633,6.3216e-05
165,0.040719,2.5079e-05
166,0.034325,0.0002115
167,0.035267,0.00014475
