region,heritability,pvalue
1,0.071794,6.5296e-12
2,0.07784,1.1386e-13
3,0.065523,3.1436e-10
4,0.061018,5.6738e-09
5,0.043458,1.4348e-05
6,0.083187,1.6721e-15
7,0.062375,1.6635e-09
8,0.054314,6.4129e-08
9,0.049065,1.7654e-06
10,0.03515,0.00031517
11,0.089224,9.098e-18
12,0.053734,7.0075e-08
13,0.051563,4.5574e-07
14,0.061218,6.3625e-09
15,0.060549,4.4757e-09
16,0.050026,1.0529e-06
17,0.061708,1.7365e-09
18,0.044221,6.9672e-06
19,0.053272,2.5584e-07
20,0.066843,1.6562e-10
21,0.070945,4.1932e-12
22,0.060225,3.842e-09
23,0.044551,6.1014e-06
24,0.030254,0.0012723
25,0.059725,4.6137e-09
26,0.074292,5.4422e-13
27,0.085331,1.0275e-16
28,0.067805,1.9589e-11
29,0.024219,0.0099412
30,0.056654,2.8182e-08
31,0.082891,2.3772e-15
32,0.090784,5.4025e-18
33,0.059768,3.864e-09
34,0.035163,0.00051035
35,0.037487,0.00014712
36,0.077891,8.5892e-14
37,0.073875,1.5019e-12
38,0.077405,7.295e-14
39,0.05457,2.7211e-07
40,0.05179,5.1539e-07
41,0.048014,2.6341e-06
42,0.048236,1.6866e-06
43,0.054978,3.8679e-08
44,0.066137,3.4277e-10
45,0.059393,1.9095e-09
46,0.205112,0.75
47,0.017175,0.042793
48,0.055637,3.1144e-08
49,0.053149,6.6855e-08
50,0.20585,0.75
51,0.204588,0.75
52,0.031865,0.00065756
53,0.068567,1.9627e-11
54,0.049346,1.3025e-06
55,0.03357,0.0005999
56,0.052647,3.1201e-07
57,0.063276,4.6211e-10
58,0.041895,1.8677e-05
59,0.045799,9.5474e-06
60,0.057388,3.2697e-08
61,0.043192,3.0608e-05
62,0.047401,6.5069e-06
63,0.059318,5.9857e-09
64,0.064426,1.5593e-10
65,0.057103,1.3675e-08
66,0.060734,2.1661e-09
67,0.055543,2.4002e-08
68,0.052446,7.8496e-08
69,0.072647,2.87e-12
70,0.055991,4.5916e-08
71,0.048827,1.2698e-06
72,0.055841,4.5128e-08
73,0.051052,8.0675e-07
74,0.02917,0.0028696
75,0.061943,6.2372e-10
76,0.086049,2.3604e-17
77,0.08159,2.2446e-15
78,0.073447,8.2518e-13
79,0.072494,2.5799e-12
80,0.059229,4.7207e-09
81,0.052254,2.3972e-07
82,0.034314,0.00058015
83,0.071741,6.9016e-12
84,0.066262,1.3826e-10
85,0.051971,1.3043e-07
86,0.061188,2.112e-09
87,0.059865,1.0176e-08
88,0.047498,4.8545e-06
89,0.075002,4.464e-13
90,0.106725,6.3443e-24
91,0.098771,7.3295e-21
92,0.087438,4.85e-17
93,0.078649,7.1911e-14
94,0.058676,6.6928e-09
95,0.065036,3.0158e-10
96,0.048879,3.5753e-07
97,0.065792,1.4615e-10
98,0.060895,4.2735e-09
99,0.046568,4.2318e-06
100,0.078217,6.8208e-14
101,0.071794,6.5296e-12
102,0.07784,1.1386e-13
103,0.065523,3.1436e-10
104,0.061018,5.6738e-09
105,0.043458,1.4348e-05
106,0.083187,1.6721e-15
107,0.062375,1.6635e-09
108,0.054314,6.4129e-08
109,0.049065,1.7654e-06
110,0.03515,0.00031517
111,0.089224,9.098e-18
112,0.053734,7.0075e-08
113,0.051563,4.5574e-07
114,0.061218,6.3625e-09
115,0.060549,4.4757e-09
116,0.050026,1.0529e-06
117,0.061708,1.7365e-09
118,0.044221,6.9672e-06
119,0.053272,2.5584e-07
120,0.066843,1.6562e-10
121,0.070945,4.1932e-12
122,0.060225,3.842e-09
123,0.044551,6.1014e-06
124,0.030254,0.0012723
125,0.059725,4.6137e-09
126,0.074292,5.4422e-13
127,0.085331,1.0275e-16
128,0.067805,1.9589e-11
129,0.024219,0.0099412
130,0.056654,2.8182e-08
131,0.082891,2.3772e-15
132,0.090784,5.4025e-18
133,0.059768,3.864e-09
134,0.035163,0.00051035
135,0.037487,0.00014712
136,0.077891,8.5892e-14
137,0.073875,1.5019e-12
138,0.077405,7.295e-14
139,0.05457,2.7211e-07
140,0.05179,5.1539e-07
141,0.048014,2.6341e-06
142,0.048236,1.6866e-06
143,0.054978,3.8679e-08
144,0.066137,3.4277e-10
145,0.059393,1.9095e-09
146,0.205112,0.75
147,0.017175,0.042793
148,0.055637,3.1144e-08
149,0.053149,6.6855e-08
150,0.20585,0.75
151,0.204588,0.75
152,0.031865,0.00065756
153,0.068567,1.9627e-11
154,0.049346,1.3025e-06
155,0.03357,0.0005999
156,0.052647,3.1201e-07
157,0.063276,4.6211e-10
158,0.041895,1.8677e-05
159,0.045799,9.5474e-06
160,0.057388,3.2697e-08
161,0.043192,3.0608e-05
162,0.047401,6.5069e-06
163,0.059318,5.9857e-09
164,0.064426,1.5593e-10
165,0.057103,1.3675e-08
166,0.060734,2.1661e-09
167,0.055543,2.4002e-08
168,0.052446,7.8496e-08
169,0.072647,2.87e-12
170,0.055991,4.5916e-08
171,0.048827,1.2698e-06
172,0.055841,4.5128e-08
173,0.051052,8.0675e-07
174,0.02917,0.0028696
175,0.061943,6.2372e-10
176,0.086049,2.3604e-17
177,0.08159,2.2446e-15
178,0.073447,8.2518e-13
179,0.072494,2.5799e-12
180,0.059229,4.7207e-09
181,0.052254,2.3972e-07
182,0.034314,0.00058015
183,0.071741,6.9016e-12
184,0.066262,1.3826e-10
185,0.051971,1.3043e-07
186,0.061188,2.112e-09
187,0.059865,1.0176e-08
188,0.047498,4.8545e-06
189,0.075002,4.464e-13
190,0.106725,6.3443e-24
191,0.098771,7.3295e-21
192,0.087438,4.85e-17
193,0.078649,7.1911e-14
194,0.058676,6.6928e-09
195,0.065036,3.0158e-10
196,0.048879,3.5753e-07
197,0.065792,1.4615e-10
198,0.060895,4.2735e-09
199,0.046568,4.2318e-06
200,0.078217,6.8208e-14
201,0.071794,6.5296e-12
202,0.07784,1.1386e-13
203,0.065523,3.1436e-10
204,0.061018,5.6738e-09
205,0.043458,1.4348e-05
206,0.083187,1.6721e-15
207,0.062375,1.6635e-09
208,0.054314,6.4129e-08
209,0.049065,1.7654e-06
210,0.03515,0.00031517
211,0.089224,9.098e-18
212,0.053734,7.0075e-08
213,0.051563,4.5574e-07
214,0.061218,6.3625e-09
215,0.060549,4.4757e-09
216,0.050026,1.0529e-06
217,0.061708,1.7365e-09
218,0.044221,6.9672e-06
219,0.053272,2.5584e-07
220,0.066843,1.6562e-10
221,0.070945,4.1932e-12
222,0.060225,3.842e-09
223,0.044551,6.1014e-06
224,0.030254,0.0012723
225,0.059725,4.6137e-09
226,0.074292,5.4422e-13
227,0.085331,1.0275e-16
228,0.067805,1.9589e-11
229,0.024219,0.0099412
230,0.056654,2.8182e-08
231,0.082891,2.3772e-15
232,0.090784,5.4025e-18
233,0.059768,3.864e-09
234,0.035163,0.00051035
235,0.037487,0.00014712
236,0.077891,8.5892e-14
237,0.073875,1.5019e-12
238,0.077405,7.295e-14
239,0.05457,2.7211e-07
240,0.05179,5.1539e-07
241,0.048014,2.6341e-06
242,0.048236,1.6866e-06
243,0.054978,3.8679e-08
244,0.066137,3.4277e-10
245,0.059393,1.9095e-09
246,0.205112,0.75
247,0.017175,0.042793
248,0.055637,3.1144e-08
249,0.053149,6.6855e-08
250,0.20585,0.75
251,0.204588,0.75
252,0.031865,0.00065756
253,0.068567,1.9627e-11
254,0.049346,1.3025e-06
255,0.03357,0.0005999
256,0.052647,3.1201e-07
257,0.063276,4.6211e-10
258,0.041895,1.8677e-05
259,0.045799,9.5474e-06
260,0.057388,3.2697e-08
261,0.043192,3.0608e-05
262,0.047401,6.5069e-06
263,0.059318,5.9857e-09
264,0.064426,1.5593e-10
